rxn number,sensitivity,cantera equation,cantera products,cantera reactants
0,-0.6393782113838807,H + O2 <=> O + OH,"{'O': 1.0, 'OH': 1.0}","{'H': 1.0, 'O2': 1.0}"
904,-0.6128224603107696,CF3 + O2 <=> CF3O + O,"{'CF3O': 1.0, 'O': 1.0}","{'CF3': 1.0, 'O2': 1.0}"
860,0.3747223907050698,CF3 + H <=> CF2 + HF,"{'CF2': 1.0, 'HF': 1.0}","{'CF3': 1.0, 'H': 1.0}"
922,-0.2819501988182919,CF2 + O2 <=> CF2:O + O,"{'CF2:O': 1.0, 'O': 1.0}","{'CF2': 1.0, 'O2': 1.0}"
962,0.2657926136942151,CF2:O + H <=> CF:O + HF,"{'CF:O': 1.0, 'HF': 1.0}","{'CF2:O': 1.0, 'H': 1.0}"
30,-0.25325088716230676,CO + OH <=> CO2 + H,"{'CO2': 1.0, 'H': 1.0}","{'CO': 1.0, 'OH': 1.0}"
924,0.19288767359273293,CF2 + O <=> CF:O + F,"{'CF:O': 1.0, 'F': 1.0}","{'CF2': 1.0, 'O': 1.0}"
926,-0.1814859576008564,CF2 + OH <=> CF2:O + H,"{'CF2:O': 1.0, 'H': 1.0}","{'CF2': 1.0, 'OH': 1.0}"
928,0.11783475639014254,CF2 + OH <=> CF:O + HF,"{'CF:O': 1.0, 'HF': 1.0}","{'CF2': 1.0, 'OH': 1.0}"
841,0.10063842026564136,F + OH <=> HF + O,"{'HF': 1.0, 'O': 1.0}","{'F': 1.0, 'OH': 1.0}"
1271,0.07484545288541744,CH2:CF2 (+M) <=> C2HF + HF (+M),"{'C2HF': 1.0, 'HF': 1.0}",{'CH2:CF2': 1.0}
1308,-0.06802715843363066,CH2:CF2 + H <=> CF2:CH + H2,"{'CF2:CH': 1.0, 'H2': 1.0}","{'CH2:CF2': 1.0, 'H': 1.0}"
903,-0.06061879156199199,CHF2 + O2 => CF2:O + H + O,"{'CF2:O': 1.0, 'H': 1.0, 'O': 1.0}","{'CHF2': 1.0, 'O2': 1.0}"
157,-0.05945746974842215,C2H2 + O <=> H + HCCO,"{'H': 1.0, 'HCCO': 1.0}","{'C2H2': 1.0, 'O': 1.0}"
1538,-0.05865644115337392,CH2CFCF3 + O <=> CF3COF + CH2,"{'CF3COF': 1.0, 'CH2': 1.0}","{'CH2CFCF3': 1.0, 'O': 1.0}"
1327,-0.05705270758766548,CH2:CF2 + OH <=> CF2:CH + H2O,"{'CF2:CH': 1.0, 'H2O': 1.0}","{'CH2:CF2': 1.0, 'OH': 1.0}"
1481,-0.05250703354329843,CF3CCH + F <=> C2HF + CF3,"{'C2HF': 1.0, 'CF3': 1.0}","{'CF3CCH': 1.0, 'F': 1.0}"
835,0.04948768973014061,CF3 + OH <=> CF2:O + HF,"{'CF2:O': 1.0, 'HF': 1.0}","{'CF3': 1.0, 'OH': 1.0}"
1536,-0.0474709357478832,CH2COFCF3 <=> CF3COF + CH2,"{'CF3COF': 1.0, 'CH2': 1.0}",{'CH2COFCF3': 1.0}
923,0.047320810573835,CHF + O <=> CO + HF,"{'CO': 1.0, 'HF': 1.0}","{'CHF': 1.0, 'O': 1.0}"
1318,-0.045561987842507964,CH2:CF2 + O <=> CHF2 + HCO,"{'CHF2': 1.0, 'HCO': 1.0}","{'CH2:CF2': 1.0, 'O': 1.0}"
1475,0.04553626472824181,CF3CCH + OH <=> CF3 + CH2CO,"{'CF3': 1.0, 'CH2CO': 1.0}","{'CF3CCH': 1.0, 'OH': 1.0}"
936,0.04455768604547018,CF2 + H <=> CF + HF,"{'CF': 1.0, 'HF': 1.0}","{'CF2': 1.0, 'H': 1.0}"
1535,0.04306346184576088,CH2COFCF3 <=> CF3 + CH2COF,"{'CF3': 1.0, 'CH2COF': 1.0}",{'CH2COFCF3': 1.0}
832,-0.0411657231654639,CF3 + O <=> CF2:O + F,"{'CF2:O': 1.0, 'F': 1.0}","{'CF3': 1.0, 'O': 1.0}"
1529,0.03863856254764302,CH2CFCF3 + O <=> CHOCFCF3 + H,"{'CHOCFCF3': 1.0, 'H': 1.0}","{'CH2CFCF3': 1.0, 'O': 1.0}"
1037,0.035803603879481206,2 CF3 (+M) <=> CF3-CF3 (+M),{'CF3-CF3': 1.0},{'CF3': 2.0}
148,-0.03482252497997033,HCCO + O2 <=> 2 CO + OH,"{'CO': 2.0, 'OH': 1.0}","{'HCCO': 1.0, 'O2': 1.0}"
852,-0.034791239642140745,CF4 + M <=> CF3 + F + M,"{'CF3': 1.0, 'F': 1.0}",{'CF4': 1.0}
1553,-0.03387100972794426,CH2CFCF3 + F <=> CF3 + CH2:CF2,"{'CF3': 1.0, 'CH2:CF2': 1.0}","{'CH2CFCF3': 1.0, 'F': 1.0}"
907,-0.032555153336217654,CF3 + HO2 <=> CF3O + OH,"{'CF3O': 1.0, 'OH': 1.0}","{'CF3': 1.0, 'HO2': 1.0}"
1392,-0.03245125803229614,CFCO + F <=> CF2 + CO,"{'CF2': 1.0, 'CO': 1.0}","{'CFCO': 1.0, 'F': 1.0}"
958,0.029417420612465422,CF:O + F <=> CF2:O,{'CF2:O': 1.0},"{'CF:O': 1.0, 'F': 1.0}"
1065,0.029348266374925498,CF3 + CHF2 <=> CF2 + CHF3,"{'CF2': 1.0, 'CHF3': 1.0}","{'CF3': 1.0, 'CHF2': 1.0}"
1528,0.028403304729280675,CH2CFCF3 + O <=> CH2OCFCF3,{'CH2OCFCF3': 1.0},"{'CH2CFCF3': 1.0, 'O': 1.0}"
961,0.028021773189856658,CF2:O + H <=> CF:O + HF,"{'CF:O': 1.0, 'HF': 1.0}","{'CF2:O': 1.0, 'H': 1.0}"
1537,0.02671414266949596,CH2CFCF3 + O <=> CF3 + CH2COF,"{'CF3': 1.0, 'CH2COF': 1.0}","{'CH2CFCF3': 1.0, 'O': 1.0}"
1434,-0.025619007068643278,CF3 + CF3-CF3 <=> CF3-CF2 + CF4,"{'CF3-CF2': 1.0, 'CF4': 1.0}","{'CF3': 1.0, 'CF3-CF3': 1.0}"
181,0.02398696780379437,CH2CO + H <=> CH3 + CO,"{'CH3': 1.0, 'CO': 1.0}","{'CH2CO': 1.0, 'H': 1.0}"
1514,-0.023138486958519052,Z-CHCFCF3 <=> CF3CCH + F,"{'CF3CCH': 1.0, 'F': 1.0}",{'Z-CHCFCF3': 1.0}
31,-0.021350419476035873,CO + OH <=> CO2 + H,"{'CO2': 1.0, 'H': 1.0}","{'CO': 1.0, 'OH': 1.0}"
857,-0.021164002537615564,CHF2 + H <=> CHF + HF,"{'CHF': 1.0, 'HF': 1.0}","{'CHF2': 1.0, 'H': 1.0}"
1501,0.02032689448480396,CH2CFCF3 + F <=> E-CHCFCF3 + HF,"{'E-CHCFCF3': 1.0, 'HF': 1.0}","{'CH2CFCF3': 1.0, 'F': 1.0}"
898,0.02018862889992473,CF3 + HCO <=> CHF3 + CO,"{'CHF3': 1.0, 'CO': 1.0}","{'CF3': 1.0, 'HCO': 1.0}"
38,-0.019420566565889485,HCO + M <=> CO + H + M,"{'CO': 1.0, 'H': 1.0}",{'HCO': 1.0}
32,-0.01882760072189388,CO + O2 <=> CO2 + O,"{'CO2': 1.0, 'O': 1.0}","{'CO': 1.0, 'O2': 1.0}"
821,-0.018595682720638218,CH2F + H <=> CH2* + HF,"{'CH2*': 1.0, 'HF': 1.0}","{'CH2F': 1.0, 'H': 1.0}"
859,0.01854241722254674,CH2F + F <=> CHF + HF,"{'CHF': 1.0, 'HF': 1.0}","{'CH2F': 1.0, 'F': 1.0}"
59,-0.017603284673526877,CH2 + O2 <=> CO2 + 2 H,"{'CO2': 1.0, 'H': 2.0}","{'CH2': 1.0, 'O2': 1.0}"
1391,0.01747831317596382,F + HCCO <=> CHF + CO,"{'CHF': 1.0, 'CO': 1.0}","{'F': 1.0, 'HCCO': 1.0}"
1368,0.017309138871489986,CF3 + CH2 <=> CH2:CF2 + F,"{'CH2:CF2': 1.0, 'F': 1.0}","{'CF3': 1.0, 'CH2': 1.0}"
1027,0.017110977273019662,CF3 + CH3 <=> CH2:CF2 + HF,"{'CH2:CF2': 1.0, 'HF': 1.0}","{'CF3': 1.0, 'CH3': 1.0}"
861,0.016073932889381873,CHF2 + F <=> CF2 + HF,"{'CF2': 1.0, 'HF': 1.0}","{'CHF2': 1.0, 'F': 1.0}"
156,-0.015516929793103207,C2H2 + O <=> CH2 + CO,"{'CH2': 1.0, 'CO': 1.0}","{'C2H2': 1.0, 'O': 1.0}"
921,-0.014921081012544768,CHF + O2 <=> CHF:O + O,"{'CHF:O': 1.0, 'O': 1.0}","{'CHF': 1.0, 'O2': 1.0}"
1515,0.014908769425195614,E-CHCFCF3 <=> C2HF + CF3,"{'C2HF': 1.0, 'CF3': 1.0}",{'E-CHCFCF3': 1.0}
1390,0.014548739745955231,CFCO + O <=> CF:O + CO,"{'CF:O': 1.0, 'CO': 1.0}","{'CFCO': 1.0, 'O': 1.0}"
842,0.014325738345764448,F + HO2 <=> HF + O2,"{'HF': 1.0, 'O2': 1.0}","{'F': 1.0, 'HO2': 1.0}"
1534,0.014190980865102084,CH2CFCF3 + O <=> CH2COFCF3,{'CH2COFCF3': 1.0},"{'CH2CFCF3': 1.0, 'O': 1.0}"
1508,-0.013939098443508878,CH2CFCF3 + O <=> OH + Z-CHCFCF3,"{'OH': 1.0, 'Z-CHCFCF3': 1.0}","{'CH2CFCF3': 1.0, 'O': 1.0}"
1507,-0.013912445434518788,CH2CFCF3 + O <=> E-CHCFCF3 + OH,"{'E-CHCFCF3': 1.0, 'OH': 1.0}","{'CH2CFCF3': 1.0, 'O': 1.0}"
