rxn number,sensitivity,cantera equation,cantera products,cantera reactants
36,-0.007894901719332801,HCO(14) + OH(2) <=> CO(12) + H2O(4),"{'CO(12)': 1.0, 'H2O(4)': 1.0}","{'HCO(14)': 1.0, 'OH(2)': 1.0}"
1489,0.007614991167248919,C2F(1707) + OH(2) <=> C2HF(58) + O(6),"{'C2HF(58)': 1.0, 'O(6)': 1.0}","{'C2F(1707)': 1.0, 'OH(2)': 1.0}"
1528,-0.007441837485609705,C3HF4(147) + CF3(45) <=> C3HF3(150) + CF4(44),"{'C3HF3(150)': 1.0, 'CF4(44)': 1.0}","{'C3HF4(147)': 1.0, 'CF3(45)': 1.0}"
2358,0.007286655205217894,CHF2(82) + O2(3) <=> CF2O(49) + OH(2),"{'CF2O(49)': 1.0, 'OH(2)': 1.0}","{'CHF2(82)': 1.0, 'O2(3)': 1.0}"
526,0.007196074942165601,C2HF(58) + CF3(45) <=> CF3CCH(83) + F(37),"{'CF3CCH(83)': 1.0, 'F(37)': 1.0}","{'C2HF(58)': 1.0, 'CF3(45)': 1.0}"
1525,-0.007185202444368544,C3HF4(540) + CF3(45) <=> C3HF3(150) + CF4(44),"{'C3HF3(150)': 1.0, 'CF4(44)': 1.0}","{'C3HF4(540)': 1.0, 'CF3(45)': 1.0}"
3869,-0.006751904573379713,CH2CHF(56) + O(6) <=> CH2F(46) + HCO(14),"{'CH2F(46)': 1.0, 'HCO(14)': 1.0}","{'CH2CHF(56)': 1.0, 'O(6)': 1.0}"
458,0.0067494993239011975,C2HF(58) + CF3(45) <=> C3HF4(84),{'C3HF4(84)': 1.0},"{'C2HF(58)': 1.0, 'CF3(45)': 1.0}"
3168,-0.00651854482833381,CO2(13) + HF(38) <=> CFO(51) + OH(2),"{'CFO(51)': 1.0, 'OH(2)': 1.0}","{'CO2(13)': 1.0, 'HF(38)': 1.0}"
270,0.006467715986951331,CF2(43) + CH2CF2(57) <=> C3H2F4(1),{'C3H2F4(1)': 1.0},"{'CF2(43)': 1.0, 'CH2CF2(57)': 1.0}"
