,0,1
71,1.3683784155703546e-13,3.215870785732454e-07
72,1.5589390840413946e-13,3.360572758705903e-07
73,1.7663002546989535e-13,3.505274731679352e-07
74,1.9911539030975718e-13,3.649976704652801e-07
75,2.234190063001847e-13,3.79467867762625e-07
76,2.4960968357010843e-13,3.939380650599699e-07
77,2.777560398274787e-13,4.084082623573148e-07
78,3.0792650112678406e-13,4.228784596546597e-07
79,3.5943296040416147e-13,4.4555127687299576e-07
80,4.1633772786827035e-13,4.682240940913318e-07
81,4.789012077003123e-13,4.908969113096679e-07
82,5.473826692318039e-13,5.13569728528004e-07
83,6.220402523377984e-13,5.3624254574634e-07
84,7.031309727550345e-13,5.589153629646761e-07
85,8.543337298780685e-13,5.969541856176889e-07
86,1.0255655363399172e-12,6.349930082707018e-07
87,1.218019053132128e-12,6.730318309237146e-07
88,1.432878246112025e-12,7.110706535767275e-07
89,1.6713184495640497e-12,7.491094762297403e-07
90,1.9345064296002353e-12,7.871482988827532e-07
91,2.223600447009924e-12,8.25187121535766e-07
92,2.7511490688767716e-12,8.869519062665301e-07
93,3.354902790977816e-12,9.487166909972942e-07
94,4.03967939877478e-12,1.0104814757280582e-06
95,4.8102397813170565e-12,1.0722462604588223e-06
96,5.671288602007684e-12,1.1340110451895863e-06
97,7.158778294058295e-12,1.2275992024844232e-06
98,8.880618343217404e-12,1.32118735977926e-06
99,1.085245868766391e-11,1.414775517074097e-06
100,1.3089670070050204e-11,1.5083636743689339e-06
101,1.560734900649315e-11,1.6019518316637707e-06
102,1.8420322678124483e-11,1.6955399889586076e-06
103,2.1543153741053002e-11,1.7891281462534445e-06
104,2.499014504659478e-11,1.8827163035482814e-06
105,2.8775344272627567e-11,1.976304460843118e-06
106,3.2912548472303266e-11,2.069892618137955e-06
107,3.741530854397879e-11,2.163480775432792e-06
108,4.516306080926914e-11,2.3088075560533945e-06
109,5.387300370198576e-11,2.4541343366739972e-06
110,6.359249915792477e-11,2.5994611172946e-06
111,7.436760347792714e-11,2.7447878979152026e-06
