,t,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s43,s44,s49,s50,s51,s62,s69,s70,s77,s83,s89,s90,s102,s104,s110,s111,s112,s118,s135,s137,s147,s155,s171,s177,s186,s188,s189,s208,s209,s213,s214,s222,s225,s239,s245,s255,s264,s265,s269,s271,s290,s291,s292,s293,s294,s295,s296,s322,s323,s324,s329,s344,s359,s371,s372,s398,s408,s420,s428,s438,s454,s455,s512,s513,s514,s520,s524,s525,s526,s527,s528,s530,s545,s570,s571,s574,s602,s604,s609,s611,s612,s613,s614,s615,s616,T,density,Y_He,Y_Ne,Y_propane(1),Y_H(2),Y_H2(6),Y_CH3(14),Y_CH4(15),Y_C2H6(36),Y_C2H5(37),Y_C2H4(38),Y_C2H3(41),Y_C3H3(66),Y_NC3H7(92),Y_IC3H7(93),Y_C3H5-A(94),Y_C3H6(95),Y_C3H5(101),Y_C4H5(106),Y_C4H5(107),Y_C3H4(167),Y_C3H4(169),Y_PC4H9(183),Y_SC4H9(184),Y_C4H8(189),Y_C4H8(190),Y_C4H7(191),Y_C4H7(192),Y_C4H7(193),Y_C4H6(195),Y_IC4H9(273),Y_C6H10(342),Y_C6H9(343),Y_C5H9(399),Y_C5H9(400),Y_C5H8(403),Y_C5H7(404),Y_C5H9(405),Y_C5H9(407),Y_C5H11(421),Y_C5H11(422),Y_C5H9(428),Y_C5H11(537),Y_C5H11(540),Y_C5H10(541),Y_C4H6(770),Y_C4H5(774),Y_C4H7(777),Y_C4H5(781),Y_C4H5(793),Y_C3H4(801)
0,1.2027014618431933e-12,0.0,9.669504987640642e-16,1.1966429444110182e-18,-1.2596241520115982e-19,0.0,0.0,0.0,-2.558926513681387e-16,0.0,0.0,-1.910250405516593e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.3664505988208461,0.0,0.0,1.2776130210598002e-37,3.3521780743422736e-08,1.2806999382881558e-15,1.522232797622964e-18,3.7666031615495078e-28,0.9999999664781996,1.8462154384413205e-14,1.0779159721974659e-24,7.0400727926927805e-40,3.1361882864997178e-86,3.369235386793945e-51,3.954526081649979e-42,4.2513651362709656e-64,5.799112521322659e-52,8.044493160454506e-67,5.341364955462982e-74,3.9781336439574355e-73,2.092361149294375e-77,2.8676811096321193e-77,9.466435526568547e-49,1.6915030183301114e-58,2.5456289875060763e-58,1.3019208634707553e-68,5.720015908445715e-72,3.391216583315626e-72,1.0990299115539402e-73,5.763357004617602e-72,3.920498913325341e-71,3.403837707213909e-96,3.604460698933258e-109,1.2575847145688149e-103,8.177603334422072e-104,1.5661224201401917e-97,2.127634118872125e-111,3.756954548780236e-102,2.8655520036850724e-99,7.527082413974924e-85,1.008128029680289e-75,0.0,1.2699589740378681e-75,1.1213969903615501e-83,8.015102853525447e-114,2.1810837232118484e-82,1.4633865273474128e-84,3.0469995882012664e-79,1.6903152243301003e-83,1.2370415489474338e-83,2.4867844281509723e-92
1,3.1230372910072683e-09,-1.6347940231255785e-16,2.4094700042636797e-12,7.783255694816576e-12,-4.2782573803256373e-13,0.0,0.0,0.0,-6.643421720875832e-13,0.0,0.0,-4.9600728053606246e-05,-3.760026253188831e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.36645059882084463,0.0,0.0,2.2362232411048398e-27,3.352011867910393e-08,3.325409969898726e-12,3.953184817649111e-15,2.539030820371934e-21,0.999999966428614,4.793802211734224e-11,7.264985494508716e-18,1.2315651896646311e-29,4.9527865183747606e-67,1.5306609185248834e-37,6.921675007114144e-32,5.013582040660403e-47,2.6346947409623475e-38,9.486686659686775e-50,2.368595332047843e-63,9.96121753034392e-63,6.404815208477165e-57,8.778065607882184e-57,4.3001406659569647e-35,1.9944309549798077e-41,3.00153607896718e-41,3.9845828835927897e-48,1.7506491127048784e-51,1.06704878134757e-51,3.358504627241906e-53,3.6274178085161754e-52,1.1998734713385605e-50,1.0263166566706722e-75,2.821019420555887e-85,1.1769076609854107e-76,2.799163259582036e-71,6.599008757363664e-77,2.327031689399927e-87,1.0122714013088965e-78,5.571786341771456e-74,6.569895079642941e-61,2.45704232508058e-55,7.390028811628081e-73,3.094893131173424e-55,3.752189763605489e-55,5.715910169055229e-85,3.5610813450542907e-59,3.393921178160562e-70,2.451720460010597e-55,1.0976501403539808e-69,1.4022321229181025e-69,1.9697802925203767e-68
2,1.2893483570347602e-08,-3.3411440071195477e-16,9.28508684760973e-12,8.295089024550199e-11,-4.5582436409650574e-12,0.0,0.0,0.0,-2.7428260942606773e-12,0.0,0.0,-0.00020477660658325532,-4.009200958864248e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.36645059882084,0.0,0.0,8.410340838941704e-26,3.3514917434495605e-08,1.3727904339918501e-11,1.6323530156874955e-14,2.7062838274014712e-20,0.9999999662734415,1.9789692499911956e-10,7.741995668433842e-17,2.989561877759873e-28,4.43458774568152e-64,1.2469146803113417e-35,2.6032190121605674e-30,1.0555697638666624e-44,2.1931057365735666e-36,1.921839444350656e-47,2.90395734399047e-60,1.293092894664024e-59,2.777664196416976e-54,3.728799972114057e-54,4.034880280992161e-33,3.9453642887337e-39,5.943423448675843e-39,1.6527563368990542e-45,7.267982910878336e-49,4.466215484433537e-49,1.3919963126319226e-50,1.9653894412007533e-49,4.9768766296319544e-48,3.7344577252544844e-73,9.140897430811225e-82,1.8617550504244354e-72,2.102596312029494e-67,3.0113731684122326e-73,2.216123931272095e-83,5.235934754258958e-73,6.469720572867837e-70,1.1101141226939956e-57,1.9127275599178743e-52,4.350561480788944e-68,2.409047747455046e-52,3.1442640824465745e-52,2.4561105066340202e-80,4.0303483903882773e-56,8.213753490175852e-67,2.1124974270095e-52,2.9723371555320945e-66,3.531461681723602e-66,1.7439985145968727e-65
3,2.2663929849687933e-08,-3.9102143088583797e-16,1.5278486551776165e-11,2.2587587139432067e-10,-1.2410133026248397e-11,0.0,0.0,0.0,-4.820817798949546e-12,0.0,0.0,-0.0003599577743404003,-1.0919322596577678e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.3664505988208355,0.0,0.0,3.571530628182069e-25,3.350971690939502e-08,2.4128963926561407e-11,2.8697575083865445e-14,7.369475234666118e-20,0.9999999661182902,3.478350745793348e-10,2.107919038743674e-16,1.1398639993668524e-27,3.9489773326347167e-63,6.83789625459082e-35,1.1054829884833564e-29,6.539711866436512e-44,1.208949688597512e-35,1.2129080357524365e-46,1.5325350736129207e-58,1.0575114183693194e-57,2.097346873587775e-53,2.838717552850149e-53,2.283880613698362e-32,2.735523978423016e-38,4.1140355314212624e-38,1.3605307678444184e-44,5.974262702135084e-48,3.672729494703629e-48,1.1436345052615e-49,1.6369913739910898e-48,4.096896806365625e-47,1.9713281691467532e-72,8.516722227246014e-80,4.909419387639231e-71,5.164987499238823e-66,7.404079238268794e-72,5.74289791459344e-82,3.997395380587521e-71,3.3098355716905855e-68,9.742887582511329e-57,1.3980419842717844e-51,1.785868321606292e-66,1.7607868183233505e-51,2.6812625281928184e-51,9.739205628305898e-79,3.887441098474731e-55,2.699338234713344e-65,2.0063524350652145e-51,2.4685068509203564e-64,1.9078408923635546e-64,1.555630570268486e-64
4,3.243437612902827e-08,-7.512651225285569e-16,2.031546989804681e-11,4.4221625621500095e-10,-2.4293649879125022e-11,0.0,0.0,0.0,-6.898733859372224e-12,0.0,0.0,-0.0005151406583200562,-2.1415025204061377e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.3664505988208309,0.0,0.0,9.515491491373846e-25,3.3504517163661605e-08,3.452846936302481e-11,4.1075626231128854e-14,1.442837079702659e-19,0.9999999659631622,4.977507442909668e-10,4.1264015734688087e-16,2.879007521830882e-27,2.2080079098781616e-62,2.2647051333603522e-34,2.945299831742316e-29,3.0624400242105493e-43,4.054407307005246e-35,5.498107695854695e-46,5.262024181587771e-58,3.330826102711011e-57,1.0674141223843618e-52,1.4277470453842076e-52,8.134490128775924e-32,1.1387686540325069e-37,1.7156397725214587e-37,6.505876641047567e-44,2.859522923344496e-47,1.7822141795327054e-47,5.471282048037555e-49,1.0852538412636549e-47,1.9590754248990828e-46,8.647012570761302e-72,1.9698058463995832e-78,6.17995093309358e-70,6.149490773085897e-65,9.330231939825538e-71,7.622406068416544e-81,4.66687208829454e-70,3.9155827318135394e-67,7.53949179756411e-56,9.342835175514205e-51,2.1277507939568147e-65,1.1767092909671963e-50,1.95883612727291e-50,1.2727595104173432e-77,2.7257252334504796e-54,1.3756624988852488e-64,1.093613013172773e-50,1.0925701515981761e-63,8.846997889254086e-64,8.665526385236578e-64
5,4.22048224083686e-08,-8.715175758884408e-16,2.4371342716105376e-11,7.338668968279828e-10,-4.031208647147394e-11,0.0,0.0,0.0,-8.976371959524475e-12,0.0,0.0,-0.0006703240671352372,-3.553208134018855e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.36645059882082615,0.0,0.0,2.0020893754067218e-24,3.349931821716562e-08,4.492638102574603e-11,5.3457784529602685e-14,2.394515083961697e-19,0.999999965808058,6.476433610039254e-10,6.84710535939908e-16,5.879048361102694e-27,9.089426195698806e-62,5.735805736843188e-34,6.197012583230324e-29,1.0160122782364558e-42,1.0346665662359746e-34,1.7891517165781617e-45,1.6112083678872569e-57,9.221739283026566e-57,3.9748881928986504e-52,5.264130766266573e-52,2.1479463452844748e-31,3.5057600000678637e-37,5.288171680252067e-37,2.2834660879799653e-43,1.0045753643730498e-46,6.322680467883153e-47,1.9211445499645722e-48,4.579205648571904e-47,6.876041787903748e-46,2.314023010432297e-71,2.8545867970970216e-77,5.051991172448172e-69,4.7073142751119385e-64,7.611880244741852e-70,6.5964938545462435e-80,4.0751099247601733e-69,3.35950615443204e-66,3.841852854486506e-55,4.090723433328141e-50,1.689791588133809e-64,5.152094223361311e-50,8.664612488420379e-50,1.1305327060364136e-76,1.2873736377837788e-53,5.2951971760032906e-64,4.332728170557284e-50,3.490002399165638e-63,3.038985449452838e-63,3.5529179693935564e-63
6,6.283461518713822e-08,-2.4917056883838287e-15,2.96782427290523e-11,1.5998643899942881e-09,-8.786065985160894e-11,0.0,0.0,0.0,-1.336214311738778e-11,0.0,0.0,-0.0009979857918758226,-7.744364289914841e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.3664505988208162,0.0,0.0,6.55315740207753e-24,3.3488343564417395e-08,6.687574155793746e-11,7.96157046640705e-14,5.220932939429451e-19,0.9999999654806423,9.6405732068286e-10,1.4923842068845605e-15,1.8632235597910755e-26,1.6032376273552916e-60,2.7767381177606343e-33,2.028389367664142e-28,7.208148165604814e-42,5.028536945176269e-34,1.2743969137571016e-44,2.0808464922819163e-56,1.0512217677129136e-55,4.455963609399697e-51,5.887376150140584e-51,1.0606516928658077e-30,2.625606016150424e-36,3.957019833597424e-36,2.6104613849786924e-42,1.1480280839929345e-45,7.200984922057792e-46,2.1899117734455523e-47,4.955098782651699e-46,7.860573365959461e-45,3.1898535384334076e-70,1.2274753034758558e-75,2.012277654292789e-67,1.0362182280562712e-62,3.0685315187719135e-68,4.853385682913236e-78,8.558634311430357e-68,7.049304771875292e-65,6.279688806668512e-54,4.166994514978029e-49,3.813110067165072e-63,5.2476185284847456e-49,9.800917466604254e-49,6.440057383055274e-75,2.3077589134060734e-52,1.1472921470751119e-62,7.477865877365115e-49,5.5427843846620636e-62,5.532742540461441e-62,6.220509746442817e-62
7,1.0060288052878031e-07,-5.849554879047637e-15,2.7942102797435086e-11,4.065947668202998e-09,-2.2319181140893462e-10,0.0,0.0,0.0,-2.1386814852244824e-11,0.0,0.0,-0.001597856420571369,-1.9692246005604078e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.366450598820798,0.0,0.0,2.733558135514097e-23,3.3468260910686225e-08,1.0704120470160525e-10,1.2755257362435683e-13,1.3273016248090462e-18,0.9999999648814996,1.5430670501750188e-09,3.791369523544218e-15,7.617017772969775e-26,5.256144685610295e-59,1.9174808161069022e-32,8.461214970265964e-28,7.557172307046064e-41,3.466181645646822e-33,1.3627984043104838e-43,5.353223262640282e-55,2.485513019925245e-54,8.217779559990593e-50,1.0964802740857697e-49,7.233341776788655e-30,3.057661081761359e-35,4.6008135805266416e-35,5.278405368477624e-41,2.317567227381749e-44,1.4399415035454186e-44,4.396732117863789e-46,8.403213978369975e-45,1.5893685040278693e-43,7.712204435527708e-69,9.831765463876911e-74,1.3203069594443181e-65,3.7870106299837966e-61,2.025835436687229e-66,5.82680157688143e-76,2.8710397700312865e-66,2.3817575746921216e-63,1.7361466775836678e-52,6.732928154039422e-48,1.3716896059055827e-61,8.477428615595934e-48,1.7034065219540455e-47,6.454193714758621e-73,6.93516747067652e-51,5.335930737391444e-61,2.509541400686489e-47,2.2692831351299033e-60,2.3744072061139392e-60,2.024110070780287e-60
8,1.7022937244120372e-07,-1.7353497509098455e-14,-1.4058627339747728e-11,1.160031896992333e-08,-6.362347758788126e-10,0.0,0.0,0.0,-3.6168541730913185e-11,0.0,0.0,-0.0027037272070649277,-5.6122310692037985e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.3664505988207628,0.0,0.0,1.352516002473282e-22,3.343126980955788e-08,1.810238801105134e-10,2.1608717849677318e-13,3.789316743395378e-18,0.9999999637779099,2.6095695096864276e-09,1.0809561047171437e-14,3.7284790585870256e-25,2.443383871742378e-57,1.6652318551550067e-31,4.186526856601091e-27,1.0513809598345069e-39,3.001014582679203e-32,1.936450143222757e-42,2.119884822617809e-53,9.334000650120234e-53,2.0835215394249302e-48,2.8125497290614583e-48,6.147561809767551e-29,4.651214550394694e-34,6.990033058103785e-34,1.4529827507319686e-39,6.370082940052101e-43,3.928197582114523e-43,1.196100075681272e-44,1.987270512537566e-43,4.3747536330509575e-42,2.2377946829574337e-67,1.4796456487311393e-71,1.4319137185039984e-63,2.254194065785734e-59,2.2035018648929685e-64,1.1630844919245427e-73,1.5996642936694483e-64,1.32649313508666e-61,7.097323387746805e-51,1.5500919626809232e-46,7.948848733764775e-60,1.9510503744597457e-46,4.0729262715670475e-46,1.1606934082902959e-70,2.9694370048692956e-49,3.6658196169413313e-59,1.1444469918278813e-45,1.5407753557898742e-58,1.5670409654904722e-58,9.261124262106716e-59
9,3.5902955913192045e-07,-7.602090269671168e-14,-3.801964085183887e-10,5.1539978117740435e-08,-2.819606196140036e-09,0.0,0.0,0.0,-7.617046429941134e-11,0.0,0.0,-0.005702418968233374,-2.4876719084047937e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.36645059882066094,0.0,0.0,1.3655648114895914e-21,3.333117026351517e-08,3.812254678361456e-10,4.572099730011867e-13,1.6874281526323205e-17,0.9999999607915295,5.495569516012702e-09,4.794399385891637e-14,3.7277616568289985e-24,1.1116802225673058e-54,4.018165307121507e-30,4.22714098935986e-26,7.170660772243794e-38,7.180508905607038e-31,1.2883610520460911e-40,8.574686238852007e-51,3.875171048469028e-50,3.6312530355122364e-46,4.839920804341235e-46,1.3854803213323668e-27,2.644986407623214e-32,3.985605705540057e-32,2.147317648027638e-37,9.39429346128243e-41,5.781877072635486e-41,1.7011514391807383e-42,2.944353524335925e-41,6.463755744925032e-40,2.7659686118002175e-65,2.220686536380946e-67,6.176660710086394e-60,3.635986689249401e-56,9.55677853684152e-61,1.3575768893890956e-69,3.946048349655849e-61,3.0771559936756314e-58,4.417617566585709e-48,3.904151095031811e-44,1.137184095871108e-56,4.89976517647026e-44,6.072402317960925e-44,1.2827969568463135e-66,1.1414624804166424e-46,2.9267120237937278e-56,3.41502382666408e-43,1.6643990012997e-55,1.2817596944016902e-55,3.9148931622022075e-56
