,t,T,density,Y_He,Y_Ne,Y_propane(1),Y_H(2),Y_H2(6),Y_CH3(14),Y_CH4(15),Y_C2H6(36),Y_C2H5(37),Y_C2H4(38),Y_C2H3(41),Y_C3H3(66),Y_NC3H7(92),Y_IC3H7(93),Y_C3H5-A(94),Y_C3H6(95),Y_C3H5(101),Y_C4H5(106),Y_C4H5(107),Y_C3H4(167),Y_C3H4(169),Y_PC4H9(183),Y_SC4H9(184),Y_C4H8(189),Y_C4H8(190),Y_C4H7(191),Y_C4H7(192),Y_C4H7(193),Y_C4H6(195),Y_IC4H9(273),Y_C6H10(342),Y_C6H9(343),Y_C5H9(399),Y_C5H9(400),Y_C5H8(403),Y_C5H7(404),Y_C5H9(405),Y_C5H9(407),Y_C5H11(421),Y_C5H11(422),Y_C5H9(428),Y_C5H11(537),Y_C5H11(540),Y_C5H10(541),Y_C4H6(770),Y_C4H5(774),Y_C4H7(777),Y_C4H5(781),Y_C4H5(793),Y_C3H4(801)
0,2.3284373487463017e-10,1000.0,0.732901905974711,0.0,0.0,1.4531089877141845e-37,8.553535513259442e-21,1.2653279909109956e-25,3.2371453833558707e-16,3.0938119738902014e-23,0.9999999999999996,2.466696541288344e-19,3.823573870081362e-27,1.1846995673010843e-48,4.918268882130799e-93,1.4991381134076703e-49,4.3505687226849266e-42,6.891488440347997e-66,1.696923888795895e-49,4.115186110799339e-70,6.084354968493734e-82,4.531498652439071e-81,3.2856139982896937e-77,4.443458942517399e-78,2.48319173050367e-53,8.590195996017883e-61,1.2738426764520616e-60,1.2791674677445377e-68,5.989195882424242e-77,3.140686582732138e-79,2.130653216518972e-81,6.565055163592792e-80,4.010055271101148e-71,3.104162324826777e-97,3.318833024334316e-114,6.039865270476562e-107,3.453679802397796e-107,1.468916026580662e-100,3.897077072528004e-117,2.688408998395626e-105,3.085898971337285e-102,2.9406102316573494e-82,1.7782881862033913e-75,0.0,1.9220011449541723e-75,3.285637913550066e-81,7.136359940276854e-115,7.66295388289779e-88,6.187631592913525e-90,1.0416666476727714e-83,6.764842737132316e-89,5.506472605033218e-89,1.3935755099441824e-90
1,1.3403010390921067e-06,1000.0,0.7329019059733446,0.0,0.0,6.501123721503763e-26,4.723633893665429e-17,4.021573768029691e-18,1.862414002691082e-12,1.0244017129033843e-15,0.999999999998133,3.332929187777773e-15,2.973323724150311e-19,1.3274437141252364e-35,2.471248375870816e-66,3.851066788153524e-34,1.945900150432122e-30,1.0220104193840974e-46,4.3685236981061856e-34,7.644147957732153e-51,3.758259495145807e-65,2.805104383087752e-64,2.833863042888086e-54,4.66113978167573e-55,1.4950385176570452e-37,2.9688451345064574e-41,4.4146833732385496e-41,2.544334575865166e-45,1.194645414458493e-53,6.172977052762653e-56,3.682575874283783e-58,6.172352668930602e-58,7.760702555455486e-48,1.7186148624916767e-74,1.0694725453655546e-87,1.8404393239836706e-73,9.19428328865529e-71,2.5427127066067045e-74,3.8824112613231195e-87,3.859915024693075e-76,1.5086273498662796e-74,1.2025940745922962e-55,1.2469912874847431e-52,8.914553007174708e-70,1.2943434492050136e-52,1.4003330379215102e-52,1.881692781594918e-79,2.926609422417445e-62,1.6445100682393664e-70,8.954125340098735e-58,1.4105703118955493e-68,1.3610778868660595e-69,2.4181461939743257e-64
2,5.555829665502064e-06,1000.0,0.7329019059690458,0.0,0.0,4.60456347155907e-24,1.837696311576798e-16,4.105013906599185e-17,7.713771562376179e-12,1.0996621899322756e-14,0.9999999999922485,2.6390818449750655e-14,5.5465623821769825e-18,2.1069274008517396e-33,5.500599899156686e-63,6.128979964585648e-32,1.3778131457851033e-28,3.764743192022988e-44,6.677649164865538e-32,1.2647170995373366e-47,9.947483206247932e-63,7.442249956554747e-62,2.5907740036695596e-51,1.5230092886207485e-51,4.6382106264311736e-35,1.9322154754949247e-38,2.8819310952949556e-38,3.4779830457784025e-42,1.6397852950573284e-50,9.125274665203266e-53,5.221831475952187e-55,2.0884510128520768e-53,1.0549468704635677e-44,1.1487990538583353e-71,1.5842500377106616e-84,1.4713365677853344e-68,3.5050192454265296e-66,2.0432778942866234e-69,6.543266815427841e-82,3.749580224933445e-71,1.314742954999287e-68,8.825068794224163e-52,4.313868656801404e-49,1.2300198555611151e-65,4.284382071636646e-49,4.35472336854805e-49,3.15694274872148e-74,1.5699275815150213e-57,4.5434077626022006e-68,1.3783184316981914e-54,5.404847582262806e-66,3.7391671944235754e-67,9.299658092577186e-61
3,9.771358291912022e-06,1000.0,0.7329019059647472,0.0,0.0,2.4588723007830724e-23,3.0566960840878084e-16,1.0796952673107549e-16,1.355670393488292e-11,2.9958725585395466e-14,0.9999999999863466,6.615577175350717e-14,1.9673372428872878e-17,1.2717001533578579e-32,8.476194539040517e-62,3.8145575205489405e-31,7.356646475215635e-28,3.658222084891789e-43,4.3400457593250845e-31,2.348853723980998e-46,5.3077419397549005e-62,3.975416302766269e-61,3.307958311966621e-50,3.0056808960149954e-50,3.561960092448345e-34,1.7353610414827243e-37,2.5905159351789914e-37,3.5826105616573766e-41,1.696038096858897e-49,1.1520195814051693e-51,6.6751462327572e-54,7.250163458139087e-52,1.085782437764673e-43,1.5307808435678135e-70,2.2586060770571938e-83,8.537757974023732e-67,1.9871376686581006e-64,1.1956702207417846e-67,3.9207962904066125e-80,3.1654681951851916e-69,1.9404901267815334e-66,1.5310923796841374e-50,6.736306309261054e-48,2.361415710303948e-64,6.651240162324165e-48,6.909490598043799e-48,1.8770797831063637e-72,5.561652545513731e-56,2.4490381855063105e-67,1.746880999199419e-53,3.1704370104394133e-65,2.0117169095769763e-66,1.8551333363698218e-59
4,1.398688691832198e-05,1000.0,0.7329019059604485,0.0,0.0,8.347895163462539e-23,4.13461965115878e-16,2.0409857348290663e-16,1.9390521361775697e-11,5.864692571821172e-14,0.9999999999804261,1.2394637837228053e-13,4.7571406010577777e-17,5.607078024762454e-32,7.033391415441452e-61,1.6329280130315123e-30,2.497280958878938e-27,2.0948095563669862e-42,1.7652648378783687e-30,1.881378437462536e-45,2.166530633166224e-61,1.6236875476443033e-60,2.344805405580944e-49,2.6344695479941414e-49,2.102454055046388e-33,1.0968407131141006e-36,1.6381723140184687e-36,2.4374398845676546e-40,1.158608397660805e-48,9.546999219984373e-51,5.517167215748633e-53,1.0974210099630234e-50,7.388952159317066e-43,8.038362284942365e-70,1.548958017038344e-82,4.269777060274743e-65,9.901498305998392e-63,5.971572351084502e-66,1.9682176630953332e-78,1.569680716955672e-67,8.598041071766277e-65,1.8441436031745877e-49,7.656425318147238e-47,5.789919033068161e-63,7.571952325229424e-47,8.812771616867827e-47,9.425669123169239e-71,8.642201378690142e-55,1.0027050817687565e-66,1.4505046459093378e-52,1.3393602144352301e-64,8.229490487576394e-66,1.647876800649715e-58
5,1.8202415544731938e-05,1000.0,0.7329019059561497,0.0,0.0,2.1374429548050537e-22,5.085745242287331e-16,3.2694627922535895e-16,2.521500394860931e-11,9.729585861913972e-14,0.9999999999744864,2.0014651684218773e-13,9.431611244999949e-17,1.7841656112914273e-31,4.2626052882929474e-60,5.104279848524276e-30,6.393304034890759e-27,9.363042931146766e-42,5.341019077480707e-30,1.0665056099685628e-44,5.557202995551296e-61,4.169236967516568e-60,1.247187955014598e-48,1.608535987397253e-48,8.270292251131103e-33,4.8315472643358e-36,7.221251242565961e-36,1.181423914551078e-39,5.650607737696711e-48,5.939141131478335e-50,3.417277820590203e-52,1.0125643307499114e-49,3.579082839112343e-42,3.270653554646689e-69,1.2823675927428805e-81,7.362662634209839e-64,1.6190035731820773e-61,1.0317209164270897e-64,3.59054296839435e-77,2.876507263039125e-66,1.643854382927002e-63,1.349691117348133e-48,5.053685358112575e-46,6.654047687543125e-62,4.973038554485074e-46,6.017607526804318e-46,1.7079415231884098e-69,8.216374935602017e-54,2.591976318348098e-66,9.040444896698201e-52,3.696837967207411e-64,2.1237264562152747e-65,1.0165320156106247e-57
6,2.752028724057525e-05,1000.0,0.7329019059466477,0.0,0.0,1.0795569548901937e-21,6.839840821397934e-16,6.754837113525574e-16,3.805585785275876e-11,2.1836237274683953e-13,0.9999999999612897,4.3413965939643345e-13,2.9988645516407797e-16,1.2940475945951476e-30,1.998673689298713e-58,3.7846968227744424e-29,3.2273775285673246e-26,1.3181808063760091e-40,4.1117310519743795e-29,1.6398847876984067e-43,8.409977425130968e-60,6.3233701754381125e-59,3.2288030175155995e-47,4.515609050883647e-47,8.954783700784346e-32,8.79206260970996e-35,1.3212327088636727e-34,3.647508539662586e-38,1.749151945945225e-46,1.684612507633802e-48,9.1923037284327e-51,3.2738040287140866e-48,1.086936723082563e-40,1.085079228019844e-67,1.7111648879729925e-79,9.337054549644552e-62,9.961655202391545e-60,1.308788538445301e-62,9.341215096552903e-75,2.8062367996222893e-64,9.675051285703078e-62,5.039175658592767e-47,1.0606854134749536e-44,2.3095252813581293e-60,9.704971893377419e-45,1.1572071726591964e-44,4.4533290823599435e-67,3.513192666803344e-52,3.947031331039474e-65,2.5996982622581304e-50,5.988880849827004e-63,3.225359586231917e-64,3.034654795275723e-56
7,4.808026955533804e-05,1000.0,0.7329019059256815,0.0,0.0,1.0424078539068334e-20,9.621292373357186e-16,1.7196456226267065e-15,6.622741345612706e-11,6.582772662909362e-13,0.999999999931843,1.266580803137417e-12,1.5502540518824011e-15,2.0057905677740026e-29,3.3119099310735633e-56,6.24774383363447e-28,3.1118424405764955e-25,4.8099716091033336e-39,7.564171058072354e-28,5.90599146601176e-42,3.980558981598155e-58,3.021789288574356e-57,2.4948555065622565e-45,3.479963314751551e-45,2.3741204717828986e-30,4.821419746493782e-33,7.354215575817966e-33,4.273617685107734e-36,2.0750676126199094e-44,1.7362456261062716e-46,9.20439093442587e-49,3.132199664689583e-46,1.228658427332287e-38,1.076091913441235e-65,1.1367525766707706e-76,2.983406854592857e-59,1.4521241733733236e-57,4.187562739244339e-60,6.567988880376059e-72,7.588861976438852e-62,1.3689810757906807e-59,6.287402693421096e-45,6.7380153348447736e-43,2.3029756145075666e-58,5.220592073684142e-43,5.538380128169148e-43,3.1277304707675216e-64,4.0972760194606926e-50,1.9021882213986084e-63,2.7031647592138392e-48,3.2279022022865784e-61,1.5381362559985478e-62,2.438568536788123e-54
8,6.864025187010083e-05,1000.0,0.7329019059047137,0.0,0.0,3.9066737212986846e-20,1.1434555013175197e-15,3.063434292091136e-15,9.417726909858195e-11,1.3347555436733308e-12,0.9999999999019485,2.5303492530667475e-12,4.275922304820262e-15,1.1876504935688638e-28,8.73388571714313e-55,3.4424223452835666e-27,1.1652796255310973e-24,7.618959582670017e-38,3.769838436596891e-27,1.2978490401408714e-40,2.5311060082202696e-57,1.3967383454119802e-56,4.928523774515472e-44,7.970719144572716e-44,1.900548554626364e-29,4.394097812111821e-32,6.727562402399785e-32,4.420375544905725e-35,2.3063829395820874e-43,7.114587482168126e-45,3.8122976239744477e-47,1.6957371291960153e-44,1.2633411241031133e-37,9.119566082265684e-65,6.123684738377512e-73,7.637125180929975e-57,3.7128869375228994e-55,1.0844994670297214e-57,1.7626827193013653e-69,2.2918644296593696e-59,6.541873612514793e-57,2.2143686831579174e-43,2.2121512882911936e-41,4.789511922622612e-56,1.662084242459682e-41,1.4563148862326778e-41,8.038907685954249e-62,2.2238970111435923e-48,8.936271136170996e-63,1.107795550210539e-46,1.539558364121549e-60,9.793331857787509e-62,5.594320368452254e-53
9,8.920023418486364e-05,1000.0,0.7329019058837445,0.0,0.0,1.0379441353076528e-19,1.2859327329307601e-15,4.63116942139119e-15,1.219070201148055e-10,2.246095468108599e-12,0.9999999998716104,4.220691580949342e-12,9.0357517271541e-15,3.878862469423354e-28,5.910370011939666e-54,1.1127662829754968e-26,3.093642038444423e-24,3.4623748901614172e-37,1.2093152960471384e-26,5.992104491683469e-40,1.9101180594248162e-56,9.573433395392097e-56,2.7563626732502962e-43,4.517479513554984e-43,7.644444164117667e-29,2.07178247945286e-31,3.1866869718758805e-31,2.391219877004814e-34,1.2461174349371547e-42,3.792640610424526e-44,2.00175061502615e-46,1.1311798677216508e-43,6.77105945180598e-37,4.6791997034171264e-64,1.129815808120034e-71,9.32429211235541e-56,4.0600233909869e-54,1.3195900838510144e-56,2.404212575801823e-68,2.6164041563330228e-58,5.9376240299055525e-56,1.3618232721514403e-42,1.1377958795610087e-40,4.432608814266672e-55,8.030198941654836e-41,7.113110335485153e-41,1.0831952252959195e-60,1.5326617621302905e-47,6.132072462425775e-62,5.915473655711541e-46,1.0432270645320663e-59,7.388548635580237e-61,3.1916421060983678e-52
