rxn number,sensitivity,cantera equation,cantera products,cantera reactants
291,0.21788937685591844,CF3 + O2 <=> CF3O + O,"{'CF3O': 1.0, 'O': 1.0}","{'CF3': 1.0, 'O2': 1.0}"
316,0.1136574279316596,CF2 + O2 <=> CF2O + O,"{'CF2O': 1.0, 'O': 1.0}","{'CF2': 1.0, 'O2': 1.0}"
37,0.10691757290545433,H + O2 <=> O + OH,"{'O': 1.0, 'OH': 1.0}","{'H': 1.0, 'O2': 1.0}"
98,0.10138505506272566,CO + OH <=> CO2 + H,"{'CO2': 1.0, 'H': 1.0}","{'CO': 1.0, 'OH': 1.0}"
283,-0.07847854364247742,CF3 + H <=> CF2 + HF,"{'CF2': 1.0, 'HF': 1.0}","{'CF3': 1.0, 'H': 1.0}"
987,0.07181758818813108,CH2CFCF3 <=> CF3CCH + HF,"{'CF3CCH': 1.0, 'HF': 1.0}",{'CH2CFCF3': 1.0}
294,-0.06272078443301964,CF3 + O <=> CF2O + F,"{'CF2O': 1.0, 'F': 1.0}","{'CF3': 1.0, 'O': 1.0}"
776,0.06253366949887092,C2HF + O <=> CHF + CO,"{'CHF': 1.0, 'CO': 1.0}","{'C2HF': 1.0, 'O': 1.0}"
318,-0.05677115531956023,CF2 + O <=> CFO + F,"{'CFO': 1.0, 'F': 1.0}","{'CF2': 1.0, 'O': 1.0}"
175,0.05594627605960709,HCCO + O2 <=> CO + CO2 + H,"{'CO': 1.0, 'CO2': 1.0, 'H': 1.0}","{'HCCO': 1.0, 'O2': 1.0}"
916,0.051746473286631706,CF3CCH + O <=> CF3 + HCCO,"{'CF3': 1.0, 'HCCO': 1.0}","{'CF3CCH': 1.0, 'O': 1.0}"
812,-0.03249448155084854,F + HCCO <=> CHF + CO,"{'CHF': 1.0, 'CO': 1.0}","{'F': 1.0, 'HCCO': 1.0}"
232,0.03133997591143664,CF4 (+M) <=> CF3 + F (+M),"{'CF3': 1.0, 'F': 1.0}",{'CF4': 1.0}
27,-0.019752053518650947,HCCO + O <=> 2 CO + H,"{'CO': 2.0, 'H': 1.0}","{'HCCO': 1.0, 'O': 1.0}"
362,-0.019203021088865648,CF2O + H <=> CFO + HF,"{'CFO': 1.0, 'HF': 1.0}","{'CF2O': 1.0, 'H': 1.0}"
